url,year,source
https://www.aljazeera.com/economy/2019/3/23/italy-joins-chinas-belt-and-road-initiative,2013,aljazeera
https://www.aljazeera.com/economy/2019/4/26/chinas-xi-pledges-to-fight-corruption-at-belt-and-road-summit,2013,aljazeera
https://www.aljazeera.com/economy/2019/4/27/who-will-benefit-from-chinas-belt-and-road-initiative,2013,aljazeera
https://www.aljazeera.com/economy/2020/1/17/chinas-xi-turns-to-myanmar-as-he-pushes-for-belt-and-road-plan,2013,aljazeera
https://www.aljazeera.com/economy/2020/7/16/new-china-deals-signal-belt-and-road-revival-in-pakistan,2013,aljazeera
https://www.aljazeera.com/economy/2025/10/21/us-china-now-in-a-very-different-kind-of-trade-war-experts-warn,2013,aljazeera
https://www.aljazeera.com/features/2023/4/25/can-china-replace-the-us-in-the-middle-east,2013,aljazeera
https://www.aljazeera.com/news/2019/3/20/muslim-countries-urged-to-press-china-end-crackdown-of-uighurs,2013,aljazeera
https://www.aljazeera.com/news/2019/7/22/cambodia-denies-deal-to-allow-chinese-forces-at-its-naval-base,2013,aljazeera
https://www.aljazeera.com/news/2020/10/12/world-bank-g20-may-agree-to-only-6-month-debt-relief-extension,2013,aljazeera
https://www.aljazeera.com/news/2022/6/27/g7-pledges-600bn-infrastructure-plan-to-counter-china,2013,aljazeera
https://www.aljazeera.com/news/2024/9/6/as-china-africa-woo-each-other-who-gains-more-its-complex-say-experts,2013,aljazeera
https://www.aljazeera.com/news/2025/12/17/how-can-ukraine-rebuild-china-ties-after-they-were-scarred-by-russias-war,2013,aljazeera
https://www.aljazeera.com/news/2025/2/7/china-blasts-us-as-panama-quits-belt-and-road-initiative,2013,aljazeera
https://www.aljazeera.com/news/2025/5/28/tidal-wave-how-75-nations-face-chinese-debt-crisis-in-2025,2013,aljazeera
https://www.aljazeera.com/opinions/2015/12/22/china-to-open-its-first-naval-base-in-africa,2013,aljazeera
https://www.aljazeera.com/opinions/2018/10/23/will-china-abandon-the-palestinians,2013,aljazeera
https://www.aljazeera.com/opinions/2019/8/28/china-enters-the-balkans,2013,aljazeera
https://www.aljazeera.com/opinions/2021/11/18/the-chinese-miracle-and-the-american-debacle,2013,aljazeera
https://www.aljazeera.com/opinions/2023/6/6/russia-faces-a-new-neighbourhood-threat-china,2013,aljazeera
https://www.brookings.edu/articles/africa-in-the-news-african-leaders-attend-china-one-belt-one-road-summit-violence-escalates-in-central-african-republic-and-cote-divoire-mutiny-ends/,2013,brookings
https://www.brookings.edu/articles/beijing-calling-assessing-chinas-growing-footprint-in-north-africa/,2013,brookings
https://www.brookings.edu/articles/china-india-relations-millennia-of-peaceful-coexistence-meet-modern-day-geopolitical-interests/,2013,brookings
https://www.brookings.edu/articles/chinas-one-belt-one-road-initiative-a-view-from-the-united-states/,2013,brookings
https://www.brookings.edu/articles/expanding-sino-maghreb-relations-morocco-and-tunisia/,2013,brookings
https://www.brookings.edu/articles/future-development-reads-chinas-belt-and-road-initiative/,2013,brookings
https://www.brookings.edu/articles/grading-chinas-belt-and-road/,2013,brookings
https://www.brookings.edu/articles/is-chinas-development-finance-a-challenge-to-the-international-order/,2013,brookings
https://www.brookings.edu/articles/one-year-on-the-role-of-the-china-international-development-cooperation-administration-remains-cloudy/,2013,brookings
https://www.brookings.edu/articles/protect-the-party-chinas-growing-influence-in-the-developing-world/,2013,brookings
https://www.brookings.edu/articles/seven-years-into-chinas-belt-and-road/,2013,brookings
https://www.brookings.edu/articles/signing-up-or-standing-aside-disaggregating-participation-in-chinas-belt-and-road-initiative/,2013,brookings
https://www.brookings.edu/articles/the-climate-of-chinese-checks-easing-global-warming-by-greening-chinese-foreign-infrastructure-investment/,2013,brookings
https://www.brookings.edu/articles/the-evolving-relationship-between-the-international-development-architecture-and-chinas-belt-and-road/,2013,brookings
https://www.brookings.edu/articles/the-political-significance-of-chinas-latest-commitments-to-africa/,2013,brookings
https://www.brookings.edu/articles/understanding-chinas-belt-and-road-infrastructure-projects-in-africa/,2013,brookings
https://www.brookings.edu/articles/where-progress-with-china-is-most-likely-and-where-it-isnt/,2013,brookings
https://www.brookings.edu/events/belt-and-road-initiative-towards-greater-cooperation-between-china-and-the-middle-east/,2013,brookings
https://www.brookings.edu/events/the-belt-and-road-initiative-china-middle-east-cooperation-in-an-age-of-geopolitical-turbulence/,2013,brookings
https://www.brookings.edu/opinions/de-hollande-a-macron-quelle-politique-pour-la-france-en-asie/,2013,brookings
https://www.csis.org/analysis/all-rise-belt-and-road-court-session,2013,csis
https://www.csis.org/analysis/analyzing-latest-xi-putin-meeting-and-chinas-belt-and-road-forum,2013,csis
https://www.csis.org/analysis/building-chinas-one-belt-one-road,2013,csis
https://www.csis.org/analysis/chinas-belt-and-road-full-holes,2013,csis
https://www.csis.org/analysis/chinas-belt-and-road-initiative-five-years-later,2013,csis
https://www.csis.org/analysis/chinas-belt-and-road-initiative-must-become-strategy,2013,csis
